行号	上下文	补字	证据
L862	等死之。宁夏、庆阳相继陷，韩王亶□脊被执。十二月壬戌，张献忠陷建昌	=> 塉	韩王亶塉，ws直证+⿰土脊字形
L862	贼至大同，总兵官姜瑰降贼，代王传□齐遇害，巡抚都御史卫景瑗被执，自	=> 㸄	代王傳㸄，ws直证+⿰火齊字形
L1234	，六足如鸡距，不噬不惊，或言此肥□遗也。十八年七月，猗氏大水，二龙	=> 蟘	殿本肥蟘(⿰虫責)，点校作遗为异文
L1443	至齐、梁，皆谓纽星即不动处。惟祖□恒之测知纽星去极一度有余。自唐至	=> 暅	祖暅之，殿本⿰日亘；点校作恒
L3732	南。东有丹池山。东北有嵊山。北有□雩山，又有清风岭。西有太白山。南	=> (删)	衍文：ws直证北有雩山
L4440	奉仁祖淳皇帝配享，以成一代盛典。□遂改作于午门之右，社稷共为一坛。	=> (删)	衍文：殿本盛典遂改作
L4449	，夕月以秋分。星辰则祔祭于月坛。□从之。其祀仪与社稷同。二十一年，	=> (删)	衍文：殿本月壇從之
L4502	祭。隆庆初，仍于文华殿东室行礼。□	=> (删)	衍文：段末□，殿本行禮直接接至聖先師孔子段
L4973	人，而建文帝之弟允熥、允ＡＲ、允□熙，子文奎，亦皆因清疏追补。	=> (删)	衍文：殿本允熥允熞允熙；伴生：ＡＲ→熞
L5269	，《寿和之曲》：制帛牲牢，庶羞芬□□。玉戚硃干，协于韶箫。清醑在筵	=> 膫	乐志庶羞芬膫，⿰月尞字形；两□合一字
L5536	侯、一品、二品用银ＡＹ，铁事件，□占用描银。三品至五品，用银ＡＹ，	=> 䪓	舆服志鞍辔：䪓(U+4A93)用描银，字形⿰革占600dpi铁证
L5536	。三品至五品，用银ＡＹ，铁事件，□占用油画。六品至九品，用摆锡，铁	=> 䪓	同上：䪓用油画
L5536	画。六品至九品，用摆锡，铁事件，□占用油画。三十五年，官民人等马颔	=> 䪓	同上：䪓用油画
L5536	、硃红装饰。军民用铁事件，黑绿油□占。	=> 䪓	黑绿油䪓
L5540	镇之山，盖周镇圭之制，异于大圭不□彖者也。以黄绮约其下，别以囊韬之	=> 瑑	大圭不瑑者也，⿰王彖字形确认
L6539	州城北新海口沙门等岛，西历桑岛、□母母曵已岛，自□母□已西历三山岛	=> 屺	屺姆岛，⿰山己字形确认（桑岛屺姆岛）
L6601	一工止二十丈，而费千五百金。下多□冈□句石，掣水甚难。故复有改挑王	=> 碙	下多碙硵石，⿰石康字形确认，库本拆□冈(康之残)
L6601	止二十丈，而费千五百金。下多□冈□句石，掣水甚难。故复有改挑王家丘	=> 硵	同上：硵=⿰石卤，库本拆□句
L6601	家口至亭口高峻者共五十里，大概多□冈□句石，费当若何？而舍此则又无	=> 碙	同上：大概多碙硵石
L6601	至亭口高峻者共五十里，大概多□冈□句石，费当若何？而舍此则又无河可	=> 硵	同上第二处句位（未定位按拆字补）
L6601	，方广十丈，用夫千名。才下数尺为□冈□句石，又下皆沙，又下尽黑沙，	=> 碙	同上：才下数尺为碙硵石
L6601	广十丈，用夫千名。才下数尺为□冈□句石，又下皆沙，又下尽黑沙，又下	=> 硵	同上第三处句位（未定位按拆字补）
L6955	百五十余里，工作甚难，不若益墩台□□守。”乃增赤城等堡烟墩二十二。	=> 瞭	益墩台瞭守，⿰目尞字形确认，双□合为一字
L7102	流、杂犯死罪各做工、摆站、哨暿愰□、发充仪从，情重者煎盐炒铁。死罪	=> 瞭	刑法志哨瞭，殿本瞭字，库本暿愰□三unit讹
L11252	楚王桢武冈王显槐齐王榑潭王梓赵王□巳鲁王檀归善王当沍辅国将军当燌奉	=> 杞	赵王杞，殿本⿰木巳形(己之木刻变体)，库本拆□巳
L11254	湘王柏。韩妃生辽王植。余妃生庆王□旃。杨妃生宁王权。周妃生岷王楩、	=> (删)	衍文：殿本余妃生庆王旃
L11254	王宗彝。而肃王楧母郜无名号。赵王□巳、安王楹、皇子楠皆未详所生母。	=> 杞	同100：赵王杞
L11263	中。定王以闻。世宗表其门。晋恭王□，太祖第三子也。学文于宋濂，学书	=> 㭎	晋恭王㭎，殿本⿰木冈字形确认
L11263	救得免。二十四年，太子巡陕西归，□冈随来朝，敕归籓。自是折节，待官	=> 㭎	同㭎：太子巡陕归㭎随来朝，殿本字形确认
L11264	京师。济熿与燕王子高煦、周王子有□动邪诡相比，不为太祖所爱。济熺既	=> 爋	有爋邪诡，⿰火勲字形确认
L11265	抱持大恸。时帝北征，驻驿沙城，济□喜父子谒行在所。帝见济熺病，恻然	=> 熺	济熺父子，殿本⿰火喜字形确认
L11271	异谋，长史王翰数谏不纳，佯狂去。□肃次子汝南王有□动告变。帝使李景	=> 橚	周王橚次子，⿰木肃拆字，殿本橚字形
L11271	谏不纳，佯狂去。□肃次子汝南王有□动告变。帝使李景隆备边，道出汴，	=> 爋	汝南王有爋告变，同105
L11272	子宪王有炖嗣，博学善书。弟有□动数讦有炖，宣宗书谕之。有□动与	=> 爋	有爋数讦有炖，字形确认
L11272	弟有□动数讦有炖，宣宗书谕之。有□动与弟有熺诈为祥符王有爝与赵王书	=> 爋	有爋与弟有熺诈为祥符王，字形确认
L11273	。世子安氵横未袭封而卒，孙恭王睦□审嗣，谥安氵横悼王。	=> 㰂	周恭王睦㰂，⿰木審字形+史名
L11274	巡官按验。顷之，安氵横死，其子睦□审立而幼。安泛侵陵世子妃，安涘亦	=> 㰂	同上：睦㰂立而幼
L11275	嘉靖十七年，睦□审薨。子勤熄先卒，孙庄王朝堈嗣，	=> 㰂	同上：睦㰂薨
L11290	帝与书召来朝，面谕王无忘患难时。□尃不悛，阴畜刺客，招异人术士为咒	=> 榑	齐王榑不悛，⿰木尃=榑字形确认
L11307	以玉带币帛。二十六年薨。子康王承□龠嗣，三十七年薨。子端王宣圻嗣，	=> 爚	蜀康王承爚，⿰火龠字形确认
L11310	帝以中山王故，不罪。桂移怒世子逊□耑，出其母子居外舍。桂已老，尚时	=> 煓	代世子逊煓，⿰火耑字形确认
L11311	正统十一年，桂薨。世子逊□耑先卒，孙隐王仕□廛嗣。景泰中，	=> 煓	同上：逊煓先卒
L11313	王鼎渭嗣，崇祯二年薨。再传至孙传□齐。崇祯十七年三月，李自成入大同	=> 㸄	代王传㸄，同29（崇祯十七大同）
L11321	嘉靖十六年，致格薨。子宪□节嗣，以奉道为世宗所宠，赐号清微	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11321	，予金印。隆庆元年，御史陈省劾宪□节诸不法事，诏夺真人号及印。明年	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11321	为宪将关节书馈朝选，因劫持之。宪□节建白纛，曰“讼冤之纛”。笃臣惊	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11321	王反。大学士张居正家荆州，故与宪□节有隙，嫌朝选不坐宪□节反。久之	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11321	州，故与宪□节有隙，嫌朝选不坐宪□节反。久之，属巡抚都御史劳堪罗织	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11321	罗织朝选，死狱中。其后居正死，宪□节讼冤，籍居正家，而笃臣亦死。辽	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11321	。辽国除，诸宗隶楚籓，以广元王术□周为宗理。庆靖王殿细旃，太祖第十	=> 㸅	辽王宪㸅，⿰火即，史名铁证（嘉靖奉道宠藩）
L11329	逐布政使郑岳、御史范辂，幽知府郑□献、宋以方。尽夺诸附王府民庐，责	=> 瓛	知府郑瓛，⿰王献字形确认（校勘计划范例同型）
L11331	辰朔，宸濠出江西，留其党宜春王拱□条、内官万锐等守城，自帅舟师蔽江	=> 樤	宜春王拱樤，⿰木條字形确认
L11332	。戊申，直攻南昌。辛亥，城破，拱□条、锐等皆就擒，宫人自焚死。宸濠	=> 樤	同上：拱樤锐等就擒
L11335	中尉谋□韦，三世皆端谨自好，而谋□韦尤贯串群籍，通晓朝廷典故。诸王	=> 炜	谋炜，⿰火韋字形确认
L11335	敦行，自周籓中尉睦坰而外，莫及谋□韦者。万历二十二年，廷议增设石城	=> 炜	同上：谋炜者
L11351	而蜀王子崇宁王悦燇得罪，逃橞所。□惠因诡众：“往年我开金川门出建文	=> 橞	谷王橞，⿰木惠拆字，殿本橞因诡众
L11353	锜薨，谥曰端。子孙皆早卒，曾孙亶□脊嗣。崇祯十六年，贼陷平凉，被执	=> 塉	韩王亶塉，同28，⿰土脊字形确认（孙循亶塉嗣）
L11363	百石。宣德四年，以郢故邸封梁王瞻□自，移郢宫人居南京。伊历王鹥，太	=> 垍	梁庄王瞻垍，⿰土至字形+史名（钟祥梁庄王墓）
L11365	墙，削除世封。”诏从其议，与子褒□节俱安置开封。皇子楠，太祖第二十	=> 㸅	褒㸅，同宪㸅拆字家族
L11368	禄视郡王，官属亲王之半，命耆儒赵□熏为长史傅之。既长，之籓桂林。桂	=> 壎	赵壎，⿰土熏字形确认，命耆儒赵壎为长史
L11371	熥。吕后生惠帝、衡王允熞、徐王允□熙。	=> (删)	衍文：徐王允熙，同3/5/6
L11395	楒荆王瞻堈淮王瞻墺滕王瞻垲梁王瞻□自卫王瞻埏	=> 垍	同上：郭贵妃生梁王瞻垍
L11404	王蟾堈。郭贵妃生滕王瞻垲、梁王瞻□自、卫王瞻埏。	=> 垍	同上
L11420	嘉靖中病，辞禄。不允，令富顺王厚□昆摄朝谒。厚□昆，和王第二子，与	=> 焜	富顺王厚焜，⿰火昆字形确认
L11420	。不允，令富顺王厚□昆摄朝谒。厚□昆，和王第二子，与弟永新王厚熿以	=> 焜	同上
L11420	诗善画名。厚烇子永定王载墭长，厚□昆即谢摄事，人尤以为贤。嘉靖三十	=> 焜	同上：厚焜即谢摄事
L11425	梁庄王瞻□自，仁宗第九子。永乐二十二年封。	=> 垍	梁庄王瞻垍，同182
L11425	王瞻墡自长沙徙襄阳，道安陆，与瞻□自留连不忍去。濒别，瞻□自恸曰：	=> (删)	衍文：与瞻垍自留连不忍去，殿本无间字
L11425	陆，与瞻□自留连不忍去。濒别，瞻□自恸曰：“兄弟不复更相见，奈何！	=> 垍	
L11444	寿定王祐□耆，宪宗第九子。弘治四年与汝、泾	=> 榰	寿定王祐榰，同21，ws直证
L11463	太子慈烺怀王慈□亘定王慈炯永王慈照悼灵王慈焕悼怀	=> 烜	怀王慈烜，⿰火亘字形确认
L11476	，不烦司农。”朝廷嘉之。盗发王妃□冢，常淓上言：“贼延蔓渐及江北，	=> 塜	盗发王妃塜，⿰土冢字形确认
L11480	常洵，不为意。十三年冬，李自成连□舀永宁、宜阳。明年正月，参政王胤	=> 陷	李自成连陷永宁，臽/舀形近拆
L11496	。光宗七子。王太后生熹宗、简王由□学。王选侍生齐王由楫。李选侍生怀	=> 橒	简怀王由橒，⿰木雲字形确认
L11497	简怀王由□学，光宗第二子。生四岁殇。齐思王	=> 橒	同上
L11500	怀隐王慈□亘，庄烈帝第二子。殇。	=> 烜	同上：怀隐王慈烜
L11538	佥事。”天顺元年诏复侯爵，卒。弟□秀，成化十五年嗣，卒。侄辂乞嗣侯	=> 琇	弟琇嗣爵，⿰王秀字形确认
L11665	老母弱子，将安所归？祸福利害，了□然可睹，在足下审之而已。	=> (删)	衍文：了然可睹
L11770	砲劲弩为三行。蛮驱百象，被甲荷栏□盾，左右挟大竹为筒，筒置标枪，锐	=> 楯	荷栏楯，⿰木盾字形确认
L11808	得免。基幼颖异，其师郑复初谓其父□龠曰：“君祖德厚，此子必大君之门	=> 爚	刘基父刘爚，⿰火龠拆字+史名
L11813	中书省都事李彬坐贪纵抵罪，善长素□匿之，请缓其狱。基不听，驰奏。报	=> 暱	善长素暱之，⿰日匿字形确认
L12221	王朝相与为婚者，不过齐、宋、陈、□巳。故称异姓大国曰“伯舅”，小国	=> 杞	齐宋陈杞，拆字同100
L12406	兵袭执之，词连湘、代诸府。于是废□肃及岷王楩为庶人；幽代王桂于大同	=> 橚	建文废周王橚，⿰木肃拆字同117，殿本字形
L12575	二军屡挫之。滹沱之战，矢集王旗如□胃毛。王使人送旗北平，谕世子谨藏	=> 猬	矢集王旗如猬毛，成语锁定
L12664	马者，为高城深池，浚井蓄水，谨瞭□望。寇至，夜举火，昼鸣砲，并力坚	=> (删)	衍文：谨瞭望，殿本无间字
L12798	余人至。原吉请于帝，悉原之。谷王□叛，帝疑长沙有通谋者。原吉以百口	=> 橞	谷王橞叛，史实锁定
L12812	师逵古朴向宝陈寿马京许思温刘季{□虎}刘辰杨砥虞谦吕升仰瞻严本汤宗	=> 篪	刘季篪，史名锁定（同236-242）
L12839	刘季{□虎}，名韶，以字行，余姚人。洪武	=> 篪	刘季篪，史名锁定（同236-242）
L12839	逋赋，有司峻刑督，民不能输。季{□虎}至，与其僚分行郡县，悉纵械者	=> 篪	刘季篪，⿰竹虎字形+史名（明史卷157刘季篪传），库本{□虎}拆记
L12839	缓为期。民感其德，悉完纳。陕不产□冈砂，而岁有课。季{□虎}言于朝	=> 碙	陕不产碙砂，同83/253拆字（此处非篪）
L12839	纳。陕不产□冈砂，而岁有课。季{□虎}言于朝，罢之。洪渠水溢，为治	=> 篪	刘季篪，⿰竹虎字形+史名（明史卷157刘季篪传），库本{□虎}拆记
L12840	杀，有司疑硃杀之，考掠诬服。季{□虎}独曰：“是非夙仇，且其装无可	=> 篪	刘季篪，⿰竹虎字形+史名（明史卷157刘季篪传），库本{□虎}拆记
L12840	失此刀久矣。”不胜掠，诬服。季{□虎}使人怀刀就其里潜察之。一童子	=> 篪	刘季篪，⿰竹虎字形+史名（明史卷157刘季篪传），库本{□虎}拆记
L12841	修《大典》，命姚广孝、解缙及季{□虎}总其事。八年坐失出下狱，谪外	=> 篪	刘季篪，⿰竹虎字形+史名（明史卷157刘季篪传），库本{□虎}拆记
L12858	若郁新之理赋，杨砥之马政，刘季{□虎}、虞谦之治狱，可谓能其官矣。	=> 篪	刘季篪，⿰竹虎字形+史名（明史卷157刘季篪传），库本{□虎}拆记
L13304	，操履清白，性严毅。每旦趋朝，小□外庐，立双藤户外。百僚过者，皆折	=> 憩	每旦趋朝小憩外庐，⿰舌自心=憩字形确认（杨溥事）
L13666	史年逾三十者留之，余悉调外。尚书□翱列上给事中何玘等十三人，御史吴	=> 王	尚书王翱，殿本王字形确认
L13753	，惟马切边需，应就给甘肃军士。其□冈砂、梧桐、硷之类，皆无益国用，	=> 碙	其碙砂梧桐碱皆无益国用，同河渠拆字
L13870	象舆来，绪乘之往。行毒雾中，泥沙□甚踔。又旬日至孟赖，去金沙江仅二	=> 踸	泥沙踸踔，⿰足甚字形确认，库本拆□甚
L14081	具所属贤否以备选擢，称得人。其子□资为南国子博士。考绩至部，文选郎	=> 猗	其子猗为南国子博士，殿本字形确认
L14172	炽。其年九月，满都鲁及孛罗忽、乚□加思兰留妻子老弱于红盐池，大举深	=> 癿	癿加思兰，⿱白乚，库本乚□拆记
L14218	济。镇守中官刘官刘郎贪横。奸民赴□郎讼者，需以法论之遣戍。□郎为跪	=> 琅	刘琅，⿰王郎字形确认
L14218	奸民赴□郎讼者，需以法论之遣戍。□郎为跪请，执不听，不听郎恨次骨。	=> 琅	同上
L14218	郎恨次骨。大臣子横于乡，需抑之。□郎与谋，改需抚陕西。寻改抚郧阳，	=> 琅	琅与谋，同上
L14364	七年召典五军营，已，改三千营。乚□加思兰犯宣府，诏胜为将军，统京兵	=> 癿	同上：千营癿加思兰
L14662	狱，致仕去。及是，吏部除副使罗{□虎}为按察使，参政李辂、佥事陈永	=> 篪	罗篪为按察使，⿰竹虎字形确认
L14662	，并言山西布政使王瑛老，宜罢。{□虎}等遂还故官，瑛致仕。御史白仲	=> 篪	篪等遂还故官，同上
L14672	葺庐舍，庀战具，招流移，为行旅置□爰铺，请帑金买牛千头以赋屯卒，立	=> 煖	为行旅置煖铺，⿰火爰字形确认
L14932	传至百二十余人，少卿李纶、指挥张□已等再传至百八十余人。异初政者一	=> 玘	指挥张玘，⿰王巳字形确认
L14940	津，伸力争，不听。镇守河南中官刘□郎乞皁隶，帝命予五十人。故事，尚	=> 琅	刘琅乞皂隶，⿰王郎字形确认
L15045	绩甚著。是时，孛罗忽、满都鲁、乚□加思兰比岁犯边。文升请驻兵韦州，	=> 癿	癿加思兰比岁犯边，同258
L15119	近岁毛里孩、阿罗忽、孛罗出、乚□加思兰大为边患。盖缘河套之中，水	=> 癿	同上
L15155	进士。历刑部郎中。辽东镇守中官梁□巳被劾，偕给事中往按，尽发其罪。	=> 玘	梁玘被劾，⿰王巳（md作巳非已）
L15640	乃上言曰：“曩蒙圣谕，国家政事商□隺可否，然后施行。此诚内阁职业也	=> 榷	国家政事商榷可否，⿰木隺字形确认
L15640	台召对，司礼传谕，不知其几似乎商□隺矣。而皆断自圣心，不蒙允纳，何	=> 榷	同上：似乎商榷矣
L15838	有才略，署为安庆守备。镇守中官刘□郎与濠通，为预伏死士。宇刺得其情	=> 琅	中官刘琅与濠通，同上
L15838	濠通，为预伏死士。宇刺得其情，诘□郎用事者，事者郎惧不敢动。宇乃大	=> 琅	同上（宇刘琅其才略）按拆字与258/272同
L16075	煽九司乱，龙州土舍赵楷杀从子燧、□爰，又结田州人韦应杀燧弟宝，断藤	=> 煖	赵楷杀从子燧煖，⿰火爰同268
L16120	潘埙驳诸请振文牒，候勘实乃发。钅□不待报，辄开仓振之，全活十余万。	=> 鏓	發鏓不得振，⿰金怱字形确认
L16120	。埙归罪钅□以自解，被劾罢去，钅□名由此显。迁两淮盐运使，条上鹾政	=> 鏓	鏓名由此显，同上
L16121	十年，擢右副都御史，巡抚宁夏。钅□为人持重，有方略。既莅重镇，不上	=> 夏鏏	巡抚宁夏夏鏏为人持重，⿰金彗字形；库本脱夏
L16175	镇国将军俊□隐等登城，止毋攻。俊□隐出见永请缓兵，皆不听。允中缒城	=> 穠	俊穠出见永请缓兵，⿰禾農；库本隐为農之讹拆
L16222	信，人莫能夺。其在太学时，兄事罗□。玘病痢，仆死，自煮药饮之。负以	=> 玘。	兄事罗玘，⿰王巳字形确认
L16343	信，人莫能夺。其在太学时，兄事罗□。玘病痢，仆死，自煮药饮之。负以	=> 玘。	同上
L17410	士，改庶吉士。座主韩爌、馆师刘一□景器之。两人并执政，遇大事多所咨	=> 燝	师刘一燝器也，⿰火景字形确认（史名刘一燝）
L17498	纮亦劾纪保护熊廷弼、佟卜年、刘一□献等。诏两解之。未几，纪以卜年狱	=> 燝	刘一燝等，同325史名
L17840	风霾求言。焕请恢圣度，纳忠言，谨□频笑，信政令，时召大臣商榷治理，	=> (删)	衍文：谨嚬笑，殿本无间字
L17870	诸臣罪，时彻亦上其事，词多隐护。□舜劾其欺罔，时彻及侍郎陈洙皆罢。	=> 橓	橓劾其欺罔，⿰木舜字形确认
L18084	臣若一贯憸邪异常，直合古今奸臣卢□巳、章惇而三矣。然竟无一人以鲤、	=> 杞	奸臣卢杞章惇，⿰木己拆字同赵王杞
L18248	，蒙寒犯暑，臣闻顷者竟日演练，中□曷濒死者数人，若辈未有不怨者。聚	=> 暑	中暑暍濒死者数人，殿本暑字形
L18427	应京独以法裁之。奉掊克万端，至伐□冢毁屋，刳孕妇，溺婴儿。其年十二	=> 塜	至伐塜取屋，⿰土冢同215
L18566	，兵部尚书张鹤鸣兴奸细杜茂、刘一□献狱，欲指一□献为一燝族，株连之	=> 巘	刘一巘狱，⿰山献字形确认
L18566	鸣兴奸细杜茂、刘一□献狱，欲指一□献为一燝族，株连之。刑部尚书王纪	=> 巘	指一巘为一煷族，同上
L18636	也。”纪议从之。逻者又获奸细刘一□献，忠贤疑刘一燝昆弟，欲立诛一谳	=> 巘	一巘忠贤疑刘，同上
L18640	朝选妻诉冤，邱橓亦为讼，竞复援胡□贾、王宗载事，请与堪俱死，乃遣堪	=> 槚	复援胡槚王宗载事，⿰木贾字形确认
L18838	大章力辨其非，忠贤大恨。卜年、一□献事具《纪》、《一燝传》中。熊廷	=> 巘	刘一巘事具纪，⿰山献拆字（同336-338史名）
L19031	十八年，孟养贼思{□固}叛。子龙方对簿，巡抚吴定请令	=> 简	孟养贼思简叛，殿本簡字形；库本{□固}拆记
L19111	兵至湖广，遂合安绵副使刘芬谦、石□主女土官秦良玉军败贼牛头镇，复新	=> (删)	衍文：石砫女土官秦良玉，殿本无间字
L19179	党人忌，将以大计出诸外，学士刘一□景保持，乃得免。历谕德、洗马。	=> 燝	学士刘一燝保持，同325
L19209	士。崇祯元年三月入朝。未几，李国□普、来宗道、杨景辰相继去，标遂为	=> 𣚴	李国𣚴入，同24
L19211	宰辅，魏忠贤以同乡故援之也。然国□普每持正论。刘志选劾张国纪以撼中	=> 𣚴	国𣚴每持正论，同24李国𣚴拆字
L19211	正论。刘志选劾张国纪以撼中宫，国□普言：“子不宜佐父难母，而况无间	=> 𣚴	同上：国𣚴言子不宜佐父难母
L19221	阁臣黄立极、施凤来、张瑞图、李国□普皆忠贤所用，不足倚，诏廷臣推举	=> 𣚴	阁臣李国𣚴，ws直证同24
L19262	卿为民，绍芳提问。震孟争之不得，□弗然曰：“科道为民，是天下极荣事	=> (删)	衍文：争之不得咈然曰，殿本无间字
L19311	仞深沟方洫而三环之，造飞梁，设横□互，陈利兵而讥诃，非符要合者不得	=> 枑	设横枑陈利兵，⿰木互字形确认
L19478	邪，朕殊不觉。”群臣对曰：“此乃□巳之所以为奸邪也。”臣每三覆斯言	=> 杞	此乃杞之所以为奸邪也，同100拆字
L20026	乃收集散亡，率所部就巡抚高名衡防□巳。贼遂破叶县，拔泌阳，乘胜陷南	=> 杞	高名衡防杞，同上
L20367	。贼方围江浦，若来急入与知县李维□越固守。贼登城，若来拒却之。缒下	=> (删)	衍文：李维樾固守，殿本维樾连文
L20929	由榔于肇庆。苏观生又议立唐王弟聿□，子壮沮不得，退居邑之九江村。永	=> 𨮁	唐王弟聿𨮁（绍武帝），⿰金粵字形+史名铁证
L20943	州。邦彦甫入谒，而观生别立唐王聿□于广州，邦彦不知也。夜二鼓，王遣	=> 𨮁	同上：立唐王聿𨮁于广州
L21058	，不得。十一月朔，苏观生立唐王聿□于广州。式耜乃与魁楚等定议迎王还	=> 𨮁	同上
L21102	。南北往来道死不葬者，信圭为三大□冢瘗之。十一年冬，尚书金濂荐擢处	=> 塜	信丰为三大塜瘗之，⿰土冢同215
L21202	，再辞。许致仕，有司给禄米。时张□总、桂萼以议礼骤贵，秉政树党，屏	=> 璁	张璁桂萼议礼骤贵，⿰王怱字形确认（总=怱简体）
L21845	，福王时，赠大理卿。鸿业及推官陆□粲不知所终，赠恤亦不及。	=> 燦	推官陆燦，⿰火粲字形确认
L21851	友。崇祯间岁大寝，倾廪振济，立义□冢，瘗暴骨。授蠡县知县，闻乡邑又	=> 塜	立义塜瘗暴骨，⿰土冢同215
L22216	，父子其会乎？”原喜，谢去，而南□俞洺、漳，至辉县带山，有寺曰梦觉	=> 踰	南踰洺漳，⿰足俞拆字，殿本字形
L22473	闻之，嘱其婢曰：“吾箧有佩囊、布□奚诸物，异日以遗官官人。”婢弗悟	=> 韈	布韈诸物，⿰韋奚字形确认
L22668	张宏名下也。内竖初入宫，必投一大□当为主，谓之名下。冯保用事，鲸害	=> 珰	内竖初入宫必投一大珰为主，⿰王当字形确认（大珰=宦官）
L22767	铨罢。其秋，施凤来、张瑞图、李国□普入。己而秉谦乞归，立极遂为首辅	=> 𣚴	李国𣚴入，同24拆字
L22768	监生胡焕猷劾立极、凤来、瑞图、国□普等，“身居揆席，漫无主持。甚至	=> 𣚴	同上：劾立极凤来瑞图国𣚴等
L22978	绞犯，骤畀京卿。他如袁弘勋、杨文□、刘泌、王燧、黄鼎等，或行同狗彘	=> 骢	杨文骢，⿰馬悤字形+史名（明末画家殉难）
L23135	茂州，古冉□龙国地。汉武帝置汶山郡，宣帝为北	=> 駹	茂州古冉駹国地，⿰馬尨字形+史记西南夷冉駹
L23474	仍为乱于清平、平越地方，杀指挥王□巳，据香炉山，掠偏桥。	=> 玘	杀指挥王玘，⿰王巳（md作巳）
L23528	寇弛不为备，乃令官军突进，连破油□窄、石壁、大皮等寨，贼奔断藤峡，	=> 榨	连破油榨石盏大皮寨，⿰木窄?(榨)字形
L23984	以缯帛。东宫亲王皆遣祭，有司具棺□郭、明器，葬之安德门外石子冈，树	=> 槨	具棺槨明器葬之，⿰木郭字形确认（槨=椁之或体）
L24090	地。地亦无草木，垒石以居，岁多旱□，皆与木骨都束同。所产有狮子、金	=> 暵	岁多旱暵，⿰日堇字形确认
L24165	胡柴氵冓。时孛鲁乃与斡罗出合别部□□加思兰、孛罗忽亦入据河套，为久	=> 癿	双□合为癿（⿱白乚）：合别部癿加思兰
L24166	斡罗出稍衰，满都鲁入河套称可汗，□□加思兰为太师。	=> 癿	双□合为癿：可汗癿加思兰为太师
L24294	王。时都指挥马云使西域，闻迤北酋□□加思兰梗道，不敢进。会哈蜜王报	=> 癿	双□合为癿：闻迤北酋癿加思兰梗道
L24295	请袭封。七年冬，奏上，礼官言：“□□加思兰见哈密无主，谋据其地，势	=> 癿	双□合为癿：癿加思兰见哈密无主
