序号	行号	原文	改后	依据
103	6297	将答赋而不暇兮，爰整驾而亟行。瞻昆仑之巍巍兮，临萦河之洋洋。伏灵龟以负亘兮，两也螭龙之飞梁。登阆风之曾城兮，构不死而为黙。屑瑶繠以为礟兮，□白水以为浆。抨巫咸以占梦兮，乃贞吉之元符。滋令德于正中兮，*(合)**[含]*嘉*(秀)**[禾]*以为敷。既垂颖而顾本兮，尔要思乎故居。安和静而随时兮，姑纯懿之所庐。 “孔子见禾三变，始于粟，生于苗，成于穟，乃叹曰：‘我其首禾乎？’”高诱注云：“禾穟向根，君子不忘本也。”	将答赋而不暇兮，爰整驾而亟行。瞻昆仑之巍巍兮，临萦河之洋洋。伏灵龟以负亘兮，两也螭龙之飞梁。登阆风之曾城兮，构不死而为黙。屑瑶蕊以为糇兮，𣂏白水以为浆。抨巫咸以占梦兮，乃贞吉之元符。滋令德于正中兮，*(合)**[含]*嘉*(秀)**[禾]*以为敷。既垂颖而顾本兮，尔要思乎故居。安和静而随时兮，姑纯懿之所庐。 “孔子见禾三变，始于粟，生于苗，成于穟，乃叹曰：‘我其首禾乎？’”高诱注云：“禾穟向根，君子不忘本也。”	宋刻本p504目视：'屑瑤橤以為[糇]兮𣂏白水以為漿'，𣂏=斤旁字且有音注圈记；注引楚辞'屑瓊蕊以為粻'；繠为蕊位、礟为糇之讹
104	6299	云师□以交集兮，涷雨沛其洒涂。轙琱舆而树葩兮，扰应龙以服辂。	云师𩅾以交集兮，涷雨沛其洒涂。轙琱舆而树葩兮，扰应龙以服辂。	宋刻本p504目视：'雲師𩅾(雨旁复杂字)以交集兮'注'云師屏翳也'；ws文选𩅾U+2917E
105	6306	□汨飂戾沛以罔象兮，烂漫丽靡藐以迭逿。凌惊雷之□糁兮，弄狂电之淫裔。逾庬澒于宕冥兮，贯倒景而高厉。廓荡荡其无涯兮，乃今穷乎天外。	戫汨飂泪沛以罔象兮，烂漫丽靡藐以迭逿。凌惊雷之□糁兮，弄狂电之淫裔。逾庬澒于宕冥兮，贯倒景而高厉。廓荡荡其无涯兮，乃今穷乎天外。	ws文选'戫汨飂泪沛以罔象兮'；戫U+620B非GB2312故□（宋本页位待补验）
106	6306	戫汨飂泪沛以罔象兮，烂漫丽靡藐以迭逿。凌惊雷之□糁兮，弄狂电之淫裔。逾庬澒于宕冥兮，贯倒景而高厉。廓荡荡其无涯兮，乃今穷乎天外。	戫汨飂泪沛以罔象兮，烂漫丽靡藐以迭逿。凌惊雷之砊礚兮，弄狂电之淫裔。逾庬澒于宕冥兮，贯倒景而高厉。廓荡荡其无涯兮，乃今穷乎天外。	ws文选'凌驚雷之砊礚兮'；砊U+780A非GB2312故□；糁为礚之讹（宋本页位待补验）
107	6319	□，整也。 系曰：天长地久岁不留，俟河之清祗怀忧。愿得远度以自娱，上下无常穷六区。超逾腾跃绝世俗，踯□神举逞所欲。天不可阶仙夫希，栢舟悄悄吝不飞。松、乔高跱孰能离？结精远游使心携。回志朅来从玄諆，	勅，整也。 系曰：天长地久岁不留，俟河之清祗怀忧。愿得远度以自娱，上下无常穷六区。超逾腾跃绝世俗，踯□神举逞所欲。天不可阶仙夫希，栢舟悄悄吝不飞。松、乔高跱孰能离？结精远游使心携。回志朅来从玄諆，	宋刻本p507左页目视：'懼余身之未勅也'注'勅整也'，束+攵字形确凿
108	6319	勅，整也。 系曰：天长地久岁不留，俟河之清祗怀忧。愿得远度以自娱，上下无常穷六区。超逾腾跃绝世俗，踯□神举逞所欲。天不可阶仙夫希，栢舟悄悄吝不飞。松、乔高跱孰能离？结精远游使心携。回志朅来从玄諆，	勅，整也。 系曰：天长地久岁不留，俟河之清祗怀忧。愿得远度以自娱，上下无常穷六区。超逾腾跃绝世俗，飘飖神举逞所欲。天不可阶仙夫希，栢舟悄悄吝不飞。松、乔高跱孰能离？结精远游使心携。回志朅来从玄諆，	宋刻本p508目视：系曰'超踰騰躍絕世俗飄颻神舉逞所欲'；踯为飘之讹、□为飖(颻)
91	6218	时政事渐损，权移于下，衡因上疏陈事曰：“伏惟陛下宣哲克明，继体承天，中遭倾覆，龙德泥蟠。今乘云高跻，盘桓天位，诚所谓将隆大位，偬先倥□之也。亲履艰难者知下情，备经险易者达物伪。故能一贯万机，靡所疑惑，百揆允当，庶绩咸熙。宜获福祉神祇，受誉黎庶。而阴阳未和，灾眚屡见，神明幽远，冥鉴在兹。福仁祸淫，景响而应，因德降休，乘失致咎，天道虽远，吉凶可见，近世郑、蔡、江、樊、周广、王圣，皆为效矣。故恭俭畏忌，必蒙祉祚，奢淫谄慢，鲜不夷戮，前事不忘，后事之师也。夫情胜其性，流遯忘反，岂唯不肖，中才皆然。苟非大贤，不能见得思义，故积恶成衅，罪不可解也。向使能瞻前顾后，援镜自戒，则何陷于凶患乎！贵宠之臣，众所属仰，其有愆尤，上下知之。褒美讥恶，有心皆同，故怨讟溢乎四海，神明降其祸辟也。顷年雨常不足，思求所失，则洪范所谓‘僭恒阳若’者也。	时政事渐损，权移于下，衡因上疏陈事曰：“伏惟陛下宣哲克明，继体承天，中遭倾覆，龙德泥蟠。今乘云高跻，盘桓天位，诚所谓将隆大位，先倥愡之也。亲履艰难者知下情，备经险易者达物伪。故能一贯万机，靡所疑惑，百揆允当，庶绩咸熙。宜获福祉神祇，受誉黎庶。而阴阳未和，灾眚屡见，神明幽远，冥鉴在兹。福仁祸淫，景响而应，因德降休，乘失致咎，天道虽远，吉凶可见，近世郑、蔡、江、樊、周广、王圣，皆为效矣。故恭俭畏忌，必蒙祉祚，奢淫谄慢，鲜不夷戮，前事不忘，后事之师也。夫情胜其性，流遯忘反，岂唯不肖，中才皆然。苟非大贤，不能见得思义，故积恶成衅，罪不可解也。向使能瞻前顾后，援镜自戒，则何陷于凶患乎！贵宠之臣，众所属仰，其有愆尤，上下知之。褒美讥恶，有心皆同，故怨讟溢乎四海，神明降其祸辟也。顷年雨常不足，思求所失，则洪范所谓‘僭恒阳若’者也。	宋刻本p488左页目视：'將隆大位先倥愡之也'，愡(忄旁)字形清晰且有音注红圈；库内偬为衍文删之、□为愡
191	10198	**梁**故国，伯翳后。有霍阳山。有注城。**荧阳**有鸿沟水。有广武城。有□亭，虢叔国。有陇城。有薄亭。	**梁**故国，伯翳后。有霍阳山。有注城。**荧阳**有鸿沟水。有广武城。有虢亭，虢叔国。有陇城。有薄亭。	《汉志》荧阳条'有虢亭虢叔国'；虢U+8662非GB2312故□；宋本p637待补验（点校本同读，置信高）
194	10307	*安□**本安险，章帝更名。	*安憙**本安险，章帝更名。	《晋志》安憙县；憙U+619B非GB2312故□；安险章帝更名安憙（点校本同读，宋本待补验）
196	10342	**尉氏****雍丘**本□国。**襄邑**有滑亭。有承匡城。**外黄**有葵丘聚，齐桓公会此。城中有曲棘里。有繁阳城。**小黄****东□****济阳****平丘**有临济亭，田儋死此。有匡。有黄池亭。**封丘**有桐牢亭，或曰古虫牢。**酸枣****长垣**侯国。有匡城。有蒲城。有祭城。**己吾**有大棘乡。有首乡。**考城**故菑，章帝更名。故属梁。**圉**故属淮阳。有高阳亭。**扶沟**故属淮阳。	**尉氏****雍丘**本□国。**襄邑**有滑亭。有承匡城。**外黄**有葵丘聚，齐桓公会此。城中有曲棘里。有繁阳城。**小黄****东昬****济阳****平丘**有临济亭，田儋死此。有匡。有黄池亭。**封丘**有桐牢亭，或曰古虫牢。**酸枣****长垣**侯国。有匡城。有蒲城。有祭城。**己吾**有大棘乡。有首乡。**考城**故菑，章帝更名。故属梁。**圉**故属淮阳。有高阳亭。**扶沟**故属淮阳。	陈留郡东昬县；《汉志》作东昏、宋刻本豫章段'昬'字形已目视铁证（p684），陈留段同字推定
199	10550	*临汝**永元八年置。**建昌**永元十六年分海□置。 	*临汝**永元八年置。**建昌**永元十六年分海昬置。 	宋刻本p684左页目视：'永元十六年分海昬置'大字清晰
201	10654	*鹑觚**故属北地。 “泾水出县西*(丹)**[□]*头山，入渭。”	*鹑觚**故属北地。 “泾水出县西*(丹)**[幵]*头山，入渭。”	《说文》'泾水出安定泾阳幵头山'；幵U+5E75非GB2312故库本讹作丹、点校为□；宋本待补验
202	10658	*泥阳**有五柞亭。**弋居**有铁。**廉****参□**故属安定。**灵州**	*泥阳**有五柞亭。**弋居**有铁。**廉****参䜌**故属安定。**灵州**	《汉志》安定郡参䜌县；䜌U+470C非GB2312故□；宋本待补验
208	10887	 **龙编****羸□***(定)***	 **龙编****羸𨻻***(定)***	《汉志》交趾郡羸𨻻县；𨻻U+28EBB非GB2312故□；宋本待补验
198	10549	*艾****海□**侯国。**平都**侯国，故安平。**石阳***	*艾****海昬**侯国。**平都**侯国，故安平。**石阳***	宋刻本p684目视：'海昬侯國'大字，昬=⿱民日字形铁证（放大确认非昏）
203	10665	*朴□***	*朴劋***	宋刻本p700目视：武威郡大字'樸劋'（⿰喿刂字形清晰），宋本武威县序：休屠揟次鸞鳥樸劋媪圍宣威倉松
204	10667	*宣威****仓松****□阴**故属安定。**租厉**故属安定。**显美**故属张掖。**左骑**千人官。	*宣威****仓松****鹯阴**故属安定。**租厉**故属安定。**显美**故属张掖。**左骑**千人官。	宋刻本p700目视：大字'X陰故屬安定'，X=⿱亶鳥即鸇之上下异写；康熙字典引《后汉书·郡国志》'鸇隂屬安定郡'直接命中
183	9346	朔前后各二日，皆牵羊酒至社下以祭日。日有变，割羊以祠社，用救日*(日)*变。执事者冠长冠，衣皁单衣，绛领袖*(绿)**[缘]*中衣，绛囐□，以行礼，如故事。	朔前后各二日，皆牵羊酒至社下以祭日。日有变，割羊以祠社，用救日*(日)*变。执事者冠长冠，衣皁单衣，绛领袖*(绿)**[缘]*中衣，绛袴絑，以行礼，如故事。	宋刻本p427目视：大字'單衣絳領袖緣中衣絳袴絑以行禮'；囐为袴之讹、□=絑(⿰糹朱)
184	9347	鼓攻之，以阳责阴也。故春秋‘日食，鼓，用牲于社’。所以必用牲者，*(土)**[社]*地别神也，尊之，不敢虚责也。日食、大水则鼓，用牲，大旱则雩祭求雨，非虚言也。助阳责下，求阴之道也。”决疑要注曰：“凡救日食，皆着赤帻，以助阳也。日将食，天子素服避正殿，内外严。日有变，伐鼓闻音，侍臣着赤帻，带劎入侍，三台令史已*(下)**[上]*皆持□立其户前，卫尉卿驱驰绕宫，察巡守备，周而复始。日复常，乃皆罢*(之)*。”	鼓攻之，以阳责阴也。故春秋‘日食，鼓，用牲于社’。所以必用牲者，*(土)**[社]*地别神也，尊之，不敢虚责也。日食、大水则鼓，用牲，大旱则雩祭求雨，非虚言也。助阳责下，求阴之道也。”决疑要注曰：“凡救日食，皆着赤帻，以助阳也。日将食，天子素服避正殿，内外严。日有变，伐鼓闻音，侍臣着赤帻，带劎入侍，三台令史已*(下)**[上]*皆持劒立其户前，卫尉卿驱驰绕宫，察巡守备，周而复始。日复常，乃皆罢*(之)*。”	宋刻本p427目视：注'三台令史已下皆持劒立其户前'，与'带劒入侍'同字；宋本作下、点校改上，记异文
185	9380	司空啬夫亦斋三日，服赤衣而立之。凿社而通之闾外之沟。取五虾羀，错置社之中。池方七尺，深一尺。酒脯祭。斋衣赤，拜跪、陈祝如初。取三岁雄鸡、豭猪，燔之四通神宇。开阴闭阳如春也。季夏，祷山陵以助之。令县邑一徙市于邑南门之外，五日，禁男子无得行入市。家人祠中溜。毋举土功。聚巫市旁，为之结盖。为四通之坛于中央，植黄缯五。其神后稷。祭之以*(毋)**[母]*□五，玄酒，具清酒*(搏)**[膊]*脯。令各为祝斋三日，衣黄衣，皆如春祠。以戊、己日为大黄龙一，长五丈，居中央；又为小龙四，各长二丈五尺，于中央，皆南乡，其闲相去五尺。丈夫五人，皆斋三日，服黄衣而舞之。老者亦斋三日，衣黄衣而立之。亦通社中于闾外沟。虾羀池方五尺，深一尺。他皆如前。秋，暴巫尫至九日。毋举火事，煎金器。家人祠门。为四通之坛于邑西门之外，方九尺，植白缯九。其神*(太)**[少]*昊。祭之桐木鱼九，玄酒，具清酒*(搏)**[膊]*脯。衣白衣。他如春。以庚、辛日为大白龙一，长九丈，居中央；为小龙八，各长四丈五尺，于西方，皆西乡，其闲相去九尺。□者九人，皆斋三日，服白衣而舞之。司马亦斋三日，衣白衣而立之，虾羀池方九尺，深一尺。他如前。	司空啬夫亦斋三日，服赤衣而立之。凿社而通之闾外之沟。取五虾羀，错置社之中。池方七尺，深一尺。酒脯祭。斋衣赤，拜跪、陈祝如初。取三岁雄鸡、豭猪，燔之四通神宇。开阴闭阳如春也。季夏，祷山陵以助之。令县邑一徙市于邑南门之外，五日，禁男子无得行入市。家人祠中溜。毋举土功。聚巫市旁，为之结盖。为四通之坛于中央，植黄缯五。其神后稷。祭之以*(毋)**[母]*𩛆五，玄酒，具清酒*(搏)**[膊]*脯。令各为祝斋三日，衣黄衣，皆如春祠。以戊、己日为大黄龙一，长五丈，居中央；又为小龙四，各长二丈五尺，于中央，皆南乡，其闲相去五尺。丈夫五人，皆斋三日，服黄衣而舞之。老者亦斋三日，衣黄衣而立之。亦通社中于闾外沟。虾羀池方五尺，深一尺。他皆如前。秋，暴巫尫至九日。毋举火事，煎金器。家人祠门。为四通之坛于邑西门之外，方九尺，植白缯九。其神*(太)**[少]*昊。祭之桐木鱼九，玄酒，具清酒*(搏)**[膊]*脯。衣白衣。他如春。以庚、辛日为大白龙一，长九丈，居中央；为小龙八，各长四丈五尺，于西方，皆西乡，其闲相去九尺。□者九人，皆斋三日，服白衣而舞之。司马亦斋三日，衣白衣而立之，虾羀池方九尺，深一尺。他如前。	宋刻本p443目视：大字'祭之以母𩛆五玄酒'，𩛆=⿰飠召；春秋繁露四库本同段作SKchar2435=𩛆，三证合一
186	9380	司空啬夫亦斋三日，服赤衣而立之。凿社而通之闾外之沟。取五虾羀，错置社之中。池方七尺，深一尺。酒脯祭。斋衣赤，拜跪、陈祝如初。取三岁雄鸡、豭猪，燔之四通神宇。开阴闭阳如春也。季夏，祷山陵以助之。令县邑一徙市于邑南门之外，五日，禁男子无得行入市。家人祠中溜。毋举土功。聚巫市旁，为之结盖。为四通之坛于中央，植黄缯五。其神后稷。祭之以*(毋)**[母]*𩛆五，玄酒，具清酒*(搏)**[膊]*脯。令各为祝斋三日，衣黄衣，皆如春祠。以戊、己日为大黄龙一，长五丈，居中央；又为小龙四，各长二丈五尺，于中央，皆南乡，其闲相去五尺。丈夫五人，皆斋三日，服黄衣而舞之。老者亦斋三日，衣黄衣而立之。亦通社中于闾外沟。虾羀池方五尺，深一尺。他皆如前。秋，暴巫尫至九日。毋举火事，煎金器。家人祠门。为四通之坛于邑西门之外，方九尺，植白缯九。其神*(太)**[少]*昊。祭之桐木鱼九，玄酒，具清酒*(搏)**[膊]*脯。衣白衣。他如春。以庚、辛日为大白龙一，长九丈，居中央；为小龙八，各长四丈五尺，于西方，皆西乡，其闲相去九尺。□者九人，皆斋三日，服白衣而舞之。司马亦斋三日，衣白衣而立之，虾羀池方九尺，深一尺。他如前。	司空啬夫亦斋三日，服赤衣而立之。凿社而通之闾外之沟。取五虾羀，错置社之中。池方七尺，深一尺。酒脯祭。斋衣赤，拜跪、陈祝如初。取三岁雄鸡、豭猪，燔之四通神宇。开阴闭阳如春也。季夏，祷山陵以助之。令县邑一徙市于邑南门之外，五日，禁男子无得行入市。家人祠中溜。毋举土功。聚巫市旁，为之结盖。为四通之坛于中央，植黄缯五。其神后稷。祭之以*(毋)**[母]*𩛆五，玄酒，具清酒*(搏)**[膊]*脯。令各为祝斋三日，衣黄衣，皆如春祠。以戊、己日为大黄龙一，长五丈，居中央；又为小龙四，各长二丈五尺，于中央，皆南乡，其闲相去五尺。丈夫五人，皆斋三日，服黄衣而舞之。老者亦斋三日，衣黄衣而立之。亦通社中于闾外沟。虾羀池方五尺，深一尺。他皆如前。秋，暴巫尫至九日。毋举火事，煎金器。家人祠门。为四通之坛于邑西门之外，方九尺，植白缯九。其神*(太)**[少]*昊。祭之桐木鱼九，玄酒，具清酒*(搏)**[膊]*脯。衣白衣。他如春。以庚、辛日为大白龙一，长九丈，居中央；为小龙八，各长四丈五尺，于西方，皆西乡，其闲相去九尺。鰥者九人，皆斋三日，服白衣而舞之。司马亦斋三日，衣白衣而立之，虾羀池方九尺，深一尺。他如前。	宋刻本p443目视：'其間相去九尺鰥者九人皆齋三日服白衣而舞之'，⿰魚㥯字形清晰；春秋繁露四库本'鰥者九人'互证
210	11165	太皇太后、皇太后法驾，皆御金根，加交*(路)**[络]*帐裳。非法驾，则乘紫罽軿车，云□文画辀，黄金涂五末、盖蚤。左右騑，驾三马。	太皇太后、皇太后法驾，皆御金根，加交*(路)**[络]*帐裳。非法驾，则乘紫罽軿车，云𣝛文画辀，黄金涂五末、盖蚤。左右騑，驾三马。	宋刻本p779目视：⿰木㒩类字形；后汉书四库本卷39'雲SKchar2508文畫輈'=𣝛；古今图书集成引'雲𣝛畫輈'互证
177	9197	太史令舒、承、梵等对：“案官所施漏法令甲第六常符漏品，孝宣皇帝三年十二月乙酉下，建武十年二月壬午诏书施行。漏刻以日长短为数，率日南北二度四分而增减一刻。一气俱十五日，日去极各有多少。今官漏率九日移一刻，不随日进退。夏历漏*[刻]*随日南北为长短，密近于官漏，分明可施行。”其年十一月甲寅，诏曰：“告司徒、司空：漏所以节时分，定□明。	太史令舒、承、梵等对：“案官所施漏法令甲第六常符漏品，孝宣皇帝三年十二月乙酉下，建武十年二月壬午诏书施行。漏刻以日长短为数，率日南北二度四分而增减一刻。一气俱十五日，日去极各有多少。今官漏率九日移一刻，不随日进退。夏历漏*[刻]*随日南北为长短，密近于官漏，分明可施行。”其年十一月甲寅，诏曰：“告司徒、司空：漏所以节时分，定昬明。	四库本卷12'定昏明'；殆知阁□示原库本作非GB2312之'昬'(U+6606)，宋刻后汉书用昬已由p684海昬铁证
